Position,TrackName,Artist,Streams,URL,date,Region
27,Don't Let Me Down,The Chainsmokers,1422968,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,1/3/17,global
28,Scars To Your Beautiful,Alessia Cara,1378110,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,1/3/17,global
29,All Night,The Vamps,1333910,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,1/3/17,global
30,Love Me Now,John Legend,1308910,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,1/3/17,global
31,By Your Side,Jonas Blue,1284803,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1/3/17,global
32,Now and Later,Sage The Gemini,1277848,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,1/3/17,global
33,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",Justin Timberlake,1267550,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/3/17,global
34,I Would Like,Zara Larsson,1257416,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,1/3/17,global
35,Shed a Light,Robin Schulz,1236765,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,1/3/17,global
36,The Mack,Nevada,1224150,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,1/3/17,global
37,Reggaet�_n Lento (Bailemos),CNCO,1191805,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/3/17,global
38,Hear Me Now,Alok,1188910,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1/3/17,global
39,Cheap Thrills,Sia,1187880,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/3/17,global
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1184008,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/3/17,global
41,Alone,Alan Walker,1151007,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/3/17,global
42,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1093336,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/3/17,global
43,"How Far I'll Go - From Moana""""",Alessia Cara,1085103,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,1/3/17,global
44,Caroline,Amin�,1058375,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,1/3/17,global
45,Safari,J Balvin,1044810,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/3/17,global
46,Broccoli (feat. Lil Yachty),DRAM,1041508,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,1/3/17,global
47,This Is What You Came For,Calvin Harris,998694,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,1/3/17,global
48,Vente Pa' Ca,Ricky Martin,978607,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/3/17,global
49,Work from Home,Fifth Harmony,977577,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,1/3/17,global
50,Otra Vez (feat. J Balvin),Zion & Lennox,960846,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/3/17,global
1,Starboy,The Weeknd,3619247,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/4/17,global
2,Closer,The Chainsmokers,3224594,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/4/17,global
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2977555,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/4/17,global
4,"I Don��t Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack)""""",ZAYN,2878313,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/4/17,global
5,Let Me Love You,DJ Snake,2680096,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/4/17,global
6,Don't Wanna Know,Maroon 5,2599826,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/4/17,global
7,Say You Won't Let Go,James Arthur,2555826,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/4/17,global
8,I Feel It Coming,The Weeknd,2441812,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/4/17,global
9,Fake Love,Drake,2427406,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/4/17,global
10,24K Magic,Bruno Mars,2315382,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/4/17,global
11,Black Beatles,Rae Sremmurd,2183966,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/4/17,global
12,Call On Me - Ryan Riback Extended Remix,Starley,2058218,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,1/4/17,global
13,Chantaje,Shakira,2042231,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/4/17,global
14,In the Name of Love,Martin Garrix,1983348,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,1/4/17,global
15,One Dance,Drake,1966480,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/4/17,global
16,Cold Water (feat. Justin Bieber & M��),Major Lazer,1936122,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,1/4/17,global
17,Just Hold On,Steve Aoki,1888869,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,1/4/17,global
18,Bad and Boujee (feat. Lil Uzi Vert),Migos,1871126,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/4/17,global
